player_name,surface,player_svpt,player_1stIn,player_1stWon,player_2ndWon,player_bpSaved,player_bpFaced,avg_age,avg_rank,n_matches,player_1stIn_pct,player_1stWon_pct,player_2ndWon_pct,player_bp_saved_pct
Aaron Krickstein,Clay,3575.0,2065.0,1352.0,703.0,228.0,405.0,25.568181818181817,46.18181818181818,44,0.5776223776223777,0.6547215496368038,0.46556291390728477,0.562962962962963
Aaron Krickstein,Grass,1768.0,1063.0,770.0,330.0,95.0,155.0,26.3,62.0,14,0.6012443438914027,0.7243650047036688,0.46808510638297873,0.6129032258064516
Aaron Krickstein,Hard,11040.0,6466.0,4444.0,2374.0,613.0,1003.0,25.768992248062013,41.35658914728682,129,0.5856884057971015,0.6872873492112589,0.5190205509400962,0.6111665004985045
Abdullah Maqdas,Hard,316.0,247.0,149.0,33.0,19.0,33.0,29.8,1298.0,2,0.7816455696202531,0.6032388663967612,0.4782608695652174,0.5757575757575758
Abedallah Shelbayh,Clay,212.0,115.0,76.0,37.0,15.0,26.0,19.4,259.0,3,0.5424528301886793,0.6608695652173913,0.38144329896907214,0.5769230769230769
Abedallah Shelbayh,Grass,114.0,65.0,40.0,23.0,7.0,14.0,19.6,240.0,2,0.5701754385964912,0.6153846153846154,0.46938775510204084,0.5
Abedallah Shelbayh,Hard,589.0,357.0,245.0,110.0,37.0,59.0,19.925,214.875,8,0.6061120543293718,0.6862745098039216,0.47413793103448276,0.6271186440677966
Adam Chadaj,Clay,156.0,100.0,63.0,25.0,9.0,16.0,21.2,230.0,2,0.6410256410256411,0.63,0.44642857142857145,0.5625
Adam Kennedy,Hard,83.0,44.0,27.0,15.0,4.0,10.0,19.8,484.0,1,0.5301204819277109,0.6136363636363636,0.38461538461538464,0.4
Adam Malik,Hard,82.0,45.0,33.0,16.0,3.0,6.0,25.6,560.0,1,0.5487804878048781,0.7333333333333333,0.43243243243243246,0.5
Adam Moundir,Clay,74.0,38.0,28.0,18.0,3.0,5.0,27.9,720.0,1,0.5135135135135135,0.7368421052631579,0.5,0.6
Adam Pavlasek,Clay,749.0,464.0,319.0,143.0,40.0,64.0,22.475,144.5,8,0.6194926568758344,0.6875,0.5017543859649123,0.625
Adam Pavlasek,Grass,187.0,115.0,85.0,32.0,13.0,21.0,22.7,136.0,2,0.6149732620320856,0.7391304347826086,0.4444444444444444,0.6190476190476191
Adam Pavlasek,Hard,291.0,172.0,112.0,45.0,16.0,35.0,22.225,91.0,4,0.5910652920962199,0.6511627906976745,0.37815126050420167,0.45714285714285713
Adam Walton,Clay,108.0,65.0,41.0,20.0,13.0,18.0,25.1,96.0,1,0.6018518518518519,0.6307692307692307,0.46511627906976744,0.7222222222222222
Adam Walton,Grass,313.0,205.0,148.0,65.0,12.0,18.0,25.166666666666668,103.0,3,0.6549520766773163,0.7219512195121951,0.6018518518518519,0.6666666666666666
Adam Walton,Hard,628.0,410.0,301.0,106.0,30.0,49.0,25.0875,121.125,8,0.6528662420382165,0.7341463414634146,0.48623853211009177,0.6122448979591837
Aditya Hari Sasongko,Clay,79.0,53.0,32.0,10.0,8.0,14.0,28.5,1568.0,1,0.6708860759493671,0.6037735849056604,0.38461538461538464,0.5714285714285714
Aditya Hari Sasongko,Hard,75.0,49.0,25.0,8.0,3.0,11.0,27.6,1436.0,1,0.6533333333333333,0.5102040816326531,0.3076923076923077,0.2727272727272727
Adria Soriano Barrera,Clay,164.0,99.0,75.0,32.0,9.0,13.0,24.6,593.0,2,0.6036585365853658,0.7575757575757576,0.49230769230769234,0.6923076923076923
Adrian Andreev,Hard,378.0,246.0,150.0,69.0,29.0,46.0,19.78,458.6,5,0.6507936507936508,0.6097560975609756,0.5227272727272727,0.6304347826086957
Adrian Bodmer,Hard,200.0,109.0,73.0,49.0,15.0,22.0,22.9,485.0,2,0.545,0.6697247706422018,0.5384615384615384,0.6818181818181818
Adrian Bohane,Hard,71.0,38.0,28.0,15.0,4.0,7.0,22.9,1416.0,1,0.5352112676056338,0.7368421052631579,0.45454545454545453,0.5714285714285714
Adrian Cruciat,Clay,160.0,100.0,71.0,25.0,10.0,17.0,25.333333333333332,171.66666666666666,3,0.625,0.71,0.4166666666666667,0.5882352941176471
Adrian Garcia,Clay,1154.0,702.0,456.0,228.0,81.0,137.0,25.56875,210.75,16,0.608318890814558,0.6495726495726496,0.504424778761062,0.5912408759124088
Adrian Garcia,Grass,171.0,95.0,66.0,36.0,11.0,17.0,28.05,147.5,2,0.5555555555555556,0.6947368421052632,0.47368421052631576,0.6470588235294118
Adrian Garcia,Hard,754.0,434.0,299.0,174.0,27.0,54.0,27.10909090909091,122.18181818181819,11,0.5755968169761273,0.6889400921658986,0.54375,0.5
Adrian Mannarino,Clay,5451.0,3289.0,2064.0,1014.0,347.0,639.0,28.98,57.04615384615385,65,0.6033755274261603,0.6275463666768014,0.4690101757631822,0.543035993740219
Adrian Mannarino,Grass,9088.0,5690.0,3976.0,1773.0,500.0,788.0,29.78878504672897,50.654205607476634,107,0.626100352112676,0.6987697715289982,0.5217775161859918,0.6345177664974619
Adrian Mannarino,Hard,31784.0,18967.0,13274.0,6546.0,1710.0,2862.0,29.938902743142144,52.30673316708229,401,0.5967467908381575,0.6998471028628671,0.5107279394554107,0.5974842767295597
Adrian Menendez Maceiras,Clay,528.0,296.0,191.0,109.0,35.0,61.0,32.06666666666667,143.83333333333334,6,0.5606060606060606,0.6452702702702703,0.4698275862068966,0.5737704918032787
